experiment_id,run_id,model,split,sigma_index,sigma,sigma_grid,cutoff,band,n_images,n_repeats,mean_summed_squared_error,ci95_low_summed_squared_error,ci95_high_summed_squared_error,mean_per_element_mse,ci95_low_per_element_mse,ci95_high_per_element_mse,aggregation_status
experiment_05,e005_spectral_residual_curves,edm_1k,test,7,5.3151945217963821,edm_18_rho7,3,full,1000,8,502.0056082958933,492.49429441532618,511.73217301030877,0.1634132839504861,0.16031715312998898,0.16657948340179321,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,7,5.3151945217963821,edm_18_rho7,3,low_frequency_residual,1000,8,307.81867446612557,301.97804014839852,313.71901886588489,0.10020139142777525,0.098300143277473481,0.10212207645373857,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,7,5.3151945217963821,edm_18_rho7,3,high_frequency_residual,1000,8,194.18693382976733,189.3897114042839,199.11565851747133,0.063211892522710714,0.061650296681081997,0.064816295090322704,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,8,3.2568215197655368,edm_18_rho7,3,full,1000,8,432.76493701046792,423.87033206923314,441.46518550408325,0.14087400293309502,0.1379786237204535,0.14370611507294376,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,8,3.2568215197655368,edm_18_rho7,3,low_frequency_residual,1000,8,237.22383180572155,232.4081568122316,242.11984502283178,0.077221299415924982,0.075653696878981644,0.078815053718369721,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,8,3.2568215197655368,edm_18_rho7,3,high_frequency_residual,1000,8,195.54110520474612,190.63915536531309,200.35898851316782,0.063652703517169965,0.062057016720479523,0.065221024906630148,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,9,1.9233398370400518,edm_18_rho7,3,full,1000,8,357.97441760797238,350.51079453282915,365.51051490628629,0.11652813073176184,0.11409856592865532,0.11898128740439007,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,9,1.9233398370400518,edm_18_rho7,3,low_frequency_residual,1000,8,177.16599996092734,173.4041533131296,181.01296133123881,0.057671223945614365,0.056446664489951039,0.058923490016679299,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,9,1.9233398370400518,edm_18_rho7,3,high_frequency_residual,1000,8,180.80841764704482,176.31149859905912,185.44811371818855,0.058856906786147405,0.05739306595021456,0.060367224517639505,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,10,1.088170636545279,edm_18_rho7,3,full,1000,8,269.75523412396842,263.94576033562106,275.57384494481357,0.087810948608062642,0.085919843859251652,0.089705027651306501,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,10,1.088170636545279,edm_18_rho7,3,low_frequency_residual,1000,8,119.64570085134139,116.95607684690526,122.42645294614589,0.038947168245879356,0.038071639598601971,0.039852360985073533,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,10,1.088170636545279,edm_18_rho7,3,high_frequency_residual,1000,8,150.10953327262683,146.38877000683155,153.96334068729459,0.048863780362183216,0.047652594403265476,0.050118274963312039,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,11,0.58534812319454221,edm_18_rho7,3,full,1000,8,178.50161462086453,174.78621516090476,182.13457501551116,0.058105994342729339,0.056896554414357016,0.059288598637861706,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,11,0.58534812319454221,edm_18_rho7,3,low_frequency_residual,1000,8,67.352382534055039,65.800839857023334,68.892269015877133,0.02192460368947104,0.021419544224291449,0.022425868820272504,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,11,0.58534812319454221,edm_18_rho7,3,high_frequency_residual,1000,8,111.14923208680936,108.47055003276755,113.84465164435527,0.036181390653258254,0.035309423838791522,0.037058805873813563,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,12,0.29644228447915727,edm_18_rho7,3,full,1000,8,95.310512257031675,93.572238670692045,96.999766219701129,0.031025557375335831,0.030459713108949234,0.031575444732975626,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,12,0.29644228447915727,edm_18_rho7,3,low_frequency_residual,1000,8,28.080734693264645,27.495585724530116,28.678912250842139,0.0091408641579637517,0.0089503859780371477,0.0093355834149876759,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,12,0.29644228447915727,edm_18_rho7,3,high_frequency_residual,1000,8,67.229777563766959,65.791554075159297,68.682954907755487,0.021884693217372058,0.021416521508840918,0.022357732717368323,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,13,0.13951646873101678,edm_18_rho7,3,full,1000,8,40.005804530575773,39.386559439755985,40.630482096491505,0.013022722828963468,0.012821145650962235,0.013226068390784995,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,13,0.13951646873101678,edm_18_rho7,3,low_frequency_residual,1000,8,8.2851419270226536,8.1304952361565448,8.4419022732669209,0.0026969863043693532,0.0026466455846863753,0.0027480150629124091,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,13,0.13951646873101678,edm_18_rho7,3,high_frequency_residual,1000,8,31.720662603553095,31.155500705585499,32.284848284906822,0.010325736524594106,0.010141764552599446,0.010509390717743107,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,14,0.05994731123547159,edm_18_rho7,3,full,1000,8,12.783221459207343,12.632207986353606,12.935197956611981,0.0041612049020857238,0.0041120468705578145,0.0042106764181679629,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,14,0.05994731123547159,edm_18_rho7,3,low_frequency_residual,1000,8,1.7916668749173368,1.7611280930980666,1.8233157739220653,0.00058322489417882053,0.00057328388447202693,0.00059352727015692228,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,14,0.05994731123547159,edm_18_rho7,3,high_frequency_residual,1000,8,10.991554584289998,10.837519096923167,11.141241614657737,0.0035779800079069005,0.0035278382476963432,0.0036267062547713988,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,15,0.022934518372333384,edm_18_rho7,3,full,1000,8,2.6936375675156086,2.6715925529314193,2.7154939069556145,0.00087683514567565379,0.00086965903415736308,0.00088394983950378081,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,15,0.022934518372333384,edm_18_rho7,3,low_frequency_residual,1000,8,0.26556058000366006,0.26126053631029483,0.26989132835717855,8.644550130327476e-05,8.5045747496840761e-05,8.7855250116269064e-05,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,15,0.022934518372333384,edm_18_rho7,3,high_frequency_residual,1000,8,2.4280769875119477,2.4047603777042772,2.451401866114308,0.00079038964437237876,0.00078279960211727773,0.00079798237829241793,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,16,0.0075280199627840785,edm_18_rho7,3,full,1000,8,0.33430994335844832,0.33219463712108743,0.33639951906261623,0.00010882485135366156,0.00010813627510452065,0.00010950505177819538,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,16,0.0075280199627840785,edm_18_rho7,3,low_frequency_residual,1000,8,0.025428121929112705,0.025017732225954322,0.025839215407100036,8.2773834404663753e-06,8.1437930423028387e-06,8.4112029319987092e-06,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,16,0.0075280199627840785,edm_18_rho7,3,high_frequency_residual,1000,8,0.30888182142933546,0.30665233025843736,0.31113433042139466,0.00010054746791319514,9.9821722089335081e-05,0.00010128070651738108,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,17,0.0020000000000000031,edm_18_rho7,3,full,1000,8,0.022061712546628351,0.021931688025536918,0.022190820559583168,7.1815470529389163e-06,7.1392213624794651e-06,7.2235744009059789e-06,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,17,0.0020000000000000031,edm_18_rho7,3,low_frequency_residual,1000,8,0.0013557795112304259,0.0013320701713195279,0.0013794339666448267,4.4133447631198762e-07,4.336165922264088e-07,4.4903449435052954e-07,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,17,0.0020000000000000031,edm_18_rho7,3,high_frequency_residual,1000,8,0.020705933035397906,0.020572476801528482,0.020837383106405819,6.7402125766269223e-06,6.696769792164219e-06,6.783002313283144e-06,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,0,80,edm_18_rho7,4,full,1000,8,793.65109361545035,772.43688360730584,815.1284810760684,0.25834996536961274,0.25144429804925322,0.26534130243361603,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,0,80,edm_18_rho7,4,low_frequency_residual,1000,8,673.36851504676088,653.3914015094125,693.9300746757234,0.21919548015845081,0.21269251351217855,0.22588869618350371,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,0,80,edm_18_rho7,4,high_frequency_residual,1000,8,120.2825785686889,116.75775755149598,123.82823346650876,0.039154485211161751,0.038007082536294264,0.04030866974821249,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,1,57.58598472124816,edm_18_rho7,4,full,1000,8,779.61772315579901,758.49839730410326,800.54552812169766,0.25378181092311164,0.24690703037242945,0.26059424743544846,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,1,57.58598472124816,edm_18_rho7,4,low_frequency_residual,1000,8,659.60092862566955,640.23572087034006,679.5174693685467,0.21471384395366847,0.2084100653874805,0.22119709289340714,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,1,57.58598472124816,edm_18_rho7,4,high_frequency_residual,1000,8,120.01679453012892,116.47661053549106,123.54793034820119,0.039067966969443008,0.037915563325355166,0.040217425243555073,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,2,40.785573796507961,edm_18_rho7,4,full,1000,8,745.70101423271205,725.70804897710707,766.04503872807175,0.24274121557054429,0.23623308885973537,0.24936361937762752,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,2,40.785573796507961,edm_18_rho7,4,low_frequency_residual,1000,8,626.60433077065738,609.10814320104407,645.44775199033745,0.20397276392274002,0.1982773903649232,0.21010669010102132,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,2,40.785573796507961,edm_18_rho7,4,high_frequency_residual,1000,8,119.09668346205432,115.46001214628976,122.66534960963773,0.038768451647804139,0.037584639370537028,0.039930126826053951,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,3,28.374584604156844,edm_18_rho7,4,full,1000,8,699.40121691920285,681.30965387702815,717.8831850157045,0.22766966696588634,0.2217804862880951,0.23368593262229964,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,3,28.374584604156844,edm_18_rho7,4,low_frequency_residual,1000,8,581.39903109675276,564.71694393667713,598.26276176739361,0.18925749710180753,0.18382713018772043,0.19474699276282345,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,3,28.374584604156844,edm_18_rho7,4,high_frequency_residual,1000,8,118.00218582244959,114.40439147682072,121.58318448657243,0.038412169864078645,0.037241012850527576,0.039577859533389464,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,4,19.352452980325229,edm_18_rho7,4,full,1000,8,654.55398469795307,638.99268515532208,670.34491291460552,0.2130709585605316,0.20800543136566474,0.21821123467272316,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,4,19.352452980325229,edm_18_rho7,4,low_frequency_residual,1000,8,536.70237845440818,522.85640509925167,550.81997102229741,0.174707805486461,0.17020065270157933,0.17930337598382076,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,4,19.352452980325229,edm_18_rho7,4,high_frequency_residual,1000,8,117.85160624354454,114.32212994832433,121.35282200122525,0.03836315307407049,0.037214235009220158,0.039502871745190508,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,5,12.91008238075732,edm_18_rho7,4,full,1000,8,602.90705479062183,590.67325162217855,615.40703619585054,0.19625880689798889,0.19227644909576125,0.2003278112616701,ok
