scenario,source_image,frequency_radius,noise_seed,initial_per_band_noise_level,dc_excluded,progress,low_band_weight,high_band_weight,low_band_score,high_band_score,low_band_relative_error,high_band_relative_error
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.47000000,0.00467200,0.93139200,0.00397882,0.92637714,0.99602118,0.07362286
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.48000000,0.01036800,0.94668800,0.00969247,0.94061507,0.99030753,0.05938493
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.49000000,0.01817600,0.96025600,0.01751729,0.95271388,0.98248271,0.04728612
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.50000000,0.02800000,0.97200000,0.02735735,0.96240689,0.97264265,0.03759311
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.51000000,0.03974400,0.98182400,0.03911672,0.96944978,0.96088328,0.03055022
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.52000000,0.05331200,0.98963200,0.05269947,0.97382743,0.94730053,0.02617257
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.53000000,0.06860800,0.99532800,0.06800965,0.97602620,0.93199035,0.02397380
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.54000000,0.08553600,0.99881600,0.08495129,0.97696596,0.91504871,0.02303404
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.55000000,0.10400000,1.00000000,0.10342845,0.97750000,0.89657155,0.02250000
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.56000000,0.12390400,1.00000000,0.12334515,0.97800000,0.87665485,0.02200000
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.57000000,0.14515200,1.00000000,0.14460543,0.97850000,0.85539457,0.02150000
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.58000000,0.16764800,1.00000000,0.16711332,0.97900000,0.83288668,0.02100000
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.59000000,0.19129600,1.00000000,0.19077282,0.97950000,0.80922718,0.02050000
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.60000000,0.21600000,1.00000000,0.21548798,0.98000000,0.78451202,0.02000000
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.61000000,0.24166400,1.00000000,0.24116279,0.98050000,0.75883721,0.01950000
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.62000000,0.26819200,1.00000000,0.26770128,0.98100000,0.73229872,0.01900000
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.63000000,0.29548800,1.00000000,0.29500746,0.98150000,0.70499254,0.01850000
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.64000000,0.32345600,1.00000000,0.32298533,0.98200000,0.67701467,0.01800000
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.65000000,0.35200000,1.00000000,0.35153891,0.98250000,0.64846109,0.01750000
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.66000000,0.38102400,1.00000000,0.38057219,0.98300000,0.61942781,0.01700000
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.67000000,0.41043200,1.00000000,0.40998918,0.98350000,0.59001082,0.01650000
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.68000000,0.44012800,1.00000000,0.43969387,0.98400000,0.56030613,0.01600000
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.69000000,0.47001600,1.00000000,0.46959027,0.98450000,0.53040973,0.01550000
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.70000000,0.50000000,1.00000000,0.49958236,0.98500000,0.50041764,0.01500000
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.71000000,0.52998400,1.00000000,0.52957413,0.98550000,0.47042587,0.01450000
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.72000000,0.55987200,1.00000000,0.55946956,0.98600000,0.44053044,0.01400000
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.73000000,0.58956800,1.00000000,0.58917263,0.98650000,0.41082737,0.01350000
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.74000000,0.61897600,1.00000000,0.61858732,0.98700000,0.38141268,0.01300000
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.75000000,0.64800000,1.00000000,0.64761758,0.98750000,0.35238242,0.01250000
